time,input,output
14.01,427,50
14.03,427,50
14.04,427,50
14.05,425,50
14.06,425,50
14.07,425,50
14.08,425,50
14.09,425,50
14.10,425,50
14.11,425,47
14.12,424,47
14.13,424,47
14.15,422,47
14.16,422,47
14.17,421,47
14.18,421,47
14.19,421,47
14.20,421,47
14.21,421,47
14.22,419,47
14.23,419,47
14.24,419,47
14.26,419,47
14.27,419,47
14.28,418,47
14.29,408,47
14.30,405,47
14.31,405,47
14.32,405,50
14.33,405,50
14.34,405,50
14.35,405,50
14.37,404,50
14.38,404,50
14.39,402,50
14.40,401,50
14.41,401,50
14.42,399,48
14.43,398,48
14.44,396,48
14.45,394,48
14.46,393,48
14.47,393,48
14.49,390,48
14.50,388,48
14.51,387,48
14.52,385,50
14.53,385,50
14.54,384,50
14.55,382,50
14.56,382,50
14.57,382,50
14.58,382,50
14.60,382,50
14.61,381,50
14.62,379,50
14.63,379,50
14.64,377,50
14.65,377,50
14.66,376,50
14.67,376,50
14.68,374,50
14.69,374,50
14.71,373,50
14.72,373,49
14.73,371,49
14.74,371,49
14.75,370,49
14.76,370,49
14.77,370,49
14.78,368,49
14.79,368,49
14.80,368,49
14.82,367,47
14.83,367,47
14.84,367,47
14.85,365,47
14.86,365,47
14.87,364,47
14.88,359,47
14.89,354,47
14.90,351,47
14.91,350,47
14.93,350,47
14.94,350,47
14.95,350,47
14.96,350,47
14.97,350,47
14.98,350,47
14.99,350,47
15.00,350,47
15.01,350,44
15.03,350,44
15.04,350,44
15.05,350,44
15.06,350,44
15.07,348,44
15.08,348,44
15.09,348,44
15.10,345,44
15.11,343,44
15.12,342,44
15.14,340,44
15.15,339,44
15.16,337,44
15.17,336,44
15.18,334,44
15.19,333,44
15.20,333,44
15.21,333,44
15.22,333,45
15.23,333,45
15.25,333,45
15.26,333,45
15.27,333,45
15.28,333,45
15.29,333,45
15.30,333,45
15.31,333,45
15.32,333,42
15.33,333,42
15.34,333,42
15.36,333,42
15.37,333,42
15.38,333,42
15.39,331,42
15.40,331,42
15.41,331,42
15.42,331,39
15.43,331,39
15.44,331,39
15.45,331,39
15.46,331,39
15.48,331,39
15.49,331,39
15.50,331,39
15.51,331,39
15.52,330,37
15.53,330,37
15.54,330,37
15.55,330,37
15.56,330,37
15.57,330,37
15.58,330,37
15.60,330,37
15.61,330,37
15.62,330,35
15.63,330,35
15.64,330,35
15.65,330,35
15.66,330,35
15.67,330,35
15.68,330,35
15.69,330,35
15.71,330,35
15.72,330,35
15.73,330,35
15.74,330,35
15.75,330,35
15.76,330,35
15.77,330,35
15.78,330,35
15.79,330,35
15.80,330,35
15.82,330,35
15.83,330,35
15.84,330,35
15.85,330,35
15.86,330,35
15.87,330,35
15.88,330,35
15.89,330,35
15.90,330,35
15.91,330,35
15.93,330,32
15.94,330,32
15.95,330,32
15.96,330,32
15.97,330,32
15.98,330,32
15.99,330,32
16.00,330,32
16.01,330,32
16.02,330,28
16.04,330,28
16.05,330,28
16.06,330,28
16.07,330,28
16.08,330,28
16.09,330,28
16.10,330,28
16.11,330,28
16.12,330,30
16.13,330,30
16.15,330,30
16.16,330,30
16.17,330,30
16.18,330,30
16.19,330,30
16.20,330,30
16.21,330,30
16.22,330,25
16.23,330,25
16.24,330,25
16.26,330,25
16.27,330,25
16.28,330,25
16.29,330,25
16.30,330,25
16.31,330,25
16.32,330,24
16.33,330,24
16.34,330,24
16.35,330,24
16.36,330,24
16.37,330,24
16.39,330,24
16.40,330,24
16.41,330,24
16.42,330,23
16.43,330,23
16.44,330,23
16.45,330,23
16.46,330,23
16.47,330,23
16.48,330,23
16.49,330,23
16.51,330,23
16.52,330,22
16.53,330,22
16.54,330,22
16.55,330,22
16.56,330,22
16.57,330,22
16.58,330,22
16.59,330,22
16.60,330,22
16.61,330,22
16.63,330,19
16.64,330,19
16.65,330,19
16.66,330,19
16.67,330,19
16.68,330,19
16.69,330,19
16.70,330,19
16.71,330,19
16.72,330,19
16.73,330,19
16.75,330,19
16.76,330,19
16.77,330,19
16.78,330,19
16.79,330,19
16.80,330,19
16.81,330,19
16.82,330,16
16.83,330,16
16.84,330,16
16.85,330,16
16.87,330,16
16.88,330,16
16.89,330,16
16.90,330,16
16.91,330,16
16.92,330,17
16.93,330,17
16.94,330,17
16.95,330,17
16.96,330,17
16.98,330,17
16.99,330,17
17.00,330,17
17.01,330,17
17.02,330,14
